idols,name,kana,lat,lon
"四条貴音,白石紬",札幌市白石区川北四条一丁目,さっぽろししろいしく かわきた4じょう 1,43.063665,141.433671
"四条貴音,白石紬",札幌市白石区川北四条二丁目,さっぽろししろいしく かわきた4じょう 2,43.063688,141.436271
"四条貴音,白石紬",札幌市白石区川北四条三丁目,さっぽろししろいしく かわきた4じょう 3,43.063461,141.43908
"四条貴音,白石紬",札幌市白石区川下四条一丁目,さっぽろししろいしく かわしも4じょう 1,43.053132,141.441291
"四条貴音,白石紬",札幌市白石区川下四条二丁目,さっぽろししろいしく かわしも4じょう 2,43.052536,141.442525
"四条貴音,白石紬",札幌市白石区川下四条三丁目,さっぽろししろいしく かわしも4じょう 3,43.052038,141.444108
"四条貴音,白石紬",札幌市白石区川下四条四丁目,さっぽろししろいしく かわしも4じょう 4,43.052104,141.446
"四条貴音,白石紬",札幌市白石区川下四条五丁目,さっぽろししろいしく かわしも4じょう 5,43.051816,141.447768
"四条貴音,白石紬",札幌市白石区川下四条六丁目,さっぽろししろいしく かわしも4じょう 6,43.051219,141.449624
"四条貴音,白石紬",札幌市白石区菊水四条一丁目,さっぽろししろいしく きくすい4じょう 1,43.060374,141.37212
"四条貴音,白石紬",札幌市白石区菊水四条二丁目,さっぽろししろいしく きくすい4じょう 2,43.058387,141.37497
"四条貴音,白石紬",札幌市白石区菊水四条三丁目,さっぽろししろいしく きくすい4じょう 3,43.056033,141.376956
"四条貴音,白石紬",札幌市白石区菊水上町四条一丁目,さっぽろししろいしく きくすいかみまち4じょう 1,43.066942,141.391287
"四条貴音,白石紬",札幌市白石区菊水上町四条二丁目,さっぽろししろいしく きくすいかみまち4じょう 2,43.065699,141.392984
"四条貴音,白石紬",札幌市白石区菊水上町四条三丁目,さっぽろししろいしく きくすいかみまち4じょう 3,43.063838,141.393999
"四条貴音,白石紬",札幌市白石区菊水上町四条四丁目,さっぽろししろいしく きくすいかみまち4じょう 4,43.063975,141.396907
"四条貴音,白石紬",札幌市白石区菊水元町四条一丁目,さっぽろししろいしく きくすいもとまち4じょう 1,43.070569,141.404166
"四条貴音,白石紬",札幌市白石区菊水元町四条二丁目,さっぽろししろいしく きくすいもとまち4じょう 2,43.06891,141.404629
"四条貴音,白石紬",札幌市白石区菊水元町四条三丁目,さっぽろししろいしく きくすいもとまち4じょう 3,43.067304,141.406239
"四条貴音,白石紬",札幌市白石区北郷四条十丁目,さっぽろししろいしく きたごう4じょう 10,43.055366,141.430689
"四条貴音,白石紬",札幌市白石区北郷四条十一丁目,さっぽろししろいしく きたごう4じょう 11,43.054058,141.433818
"四条貴音,白石紬",札幌市白石区北郷四条十二丁目,さっぽろししろいしく きたごう4じょう 12,43.053023,141.437903
"四条貴音,白石紬",札幌市白石区北郷四条十三丁目,さっぽろししろいしく きたごう4じょう 13,43.052371,141.440577
"四条貴音,白石紬",札幌市白石区北郷四条十四丁目,さっぽろししろいしく きたごう4じょう 14,43.051104,141.442722
"四条貴音,白石紬",札幌市白石区北郷四条一丁目,さっぽろししろいしく きたごう4じょう 1,43.066091,141.407465
"四条貴音,白石紬",札幌市白石区北郷四条二丁目,さっぽろししろいしく きたごう4じょう 2,43.06523,141.410439
"四条貴音,白石紬",札幌市白石区北郷四条三丁目,さっぽろししろいしく きたごう4じょう 3,43.062674,141.4145
"四条貴音,白石紬",札幌市白石区北郷四条四丁目,さっぽろししろいしく きたごう4じょう 4,43.060625,141.418077
"四条貴音,白石紬",札幌市白石区北郷四条五丁目,さっぽろししろいしく きたごう4じょう 5,43.058908,141.420931
"四条貴音,白石紬",札幌市白石区北郷四条六丁目,さっぽろししろいしく きたごう4じょう 6,43.05758,141.423168
"四条貴音,白石紬",札幌市白石区北郷四条七丁目,さっぽろししろいしく きたごう4じょう 7,43.055779,141.424604
"四条貴音,白石紬",札幌市白石区北郷四条八丁目,さっぽろししろいしく きたごう4じょう 8,43.05468,141.427249
"四条貴音,白石紬",札幌市白石区北郷四条九丁目,さっぽろししろいしく きたごう4じょう 9,43.055134,141.428972
"四条貴音,白石紬",札幌市白石区東札幌四条一丁目,さっぽろししろいしく ひがしさっぽろ4じょう 1,43.054953,141.385086
"四条貴音,白石紬",札幌市白石区東札幌四条二丁目,さっぽろししろいしく ひがしさっぽろ4じょう 2,43.053371,141.387298
"四条貴音,白石紬",札幌市白石区東札幌四条三丁目,さっぽろししろいしく ひがしさっぽろ4じょう 3,43.051794,141.389536
"四条貴音,白石紬",札幌市白石区東札幌四条四丁目,さっぽろししろいしく ひがしさっぽろ4じょう 4,43.050324,141.391629
"四条貴音,白石紬",札幌市白石区東札幌四条五丁目,さっぽろししろいしく ひがしさっぽろ4じょう 5,43.048534,141.393822
"四条貴音,白石紬",札幌市白石区東札幌四条六丁目,さっぽろししろいしく ひがしさっぽろ4じょう 6,43.047281,141.396429
"四条貴音,白石紬",札幌市白石区米里四条一丁目,さっぽろししろいしく よねさと4じょう 1,43.084361,141.425774
"四条貴音,白石紬",札幌市白石区米里四条二丁目,さっぽろししろいしく よねさと4じょう 2,43.082297,141.428203
"四条貴音,白石紬",札幌市白石区米里四条三丁目,さっぽろししろいしく よねさと4じょう 3,43.079545,141.430558
"菊地真,四条貴音",札幌市清田区真栄四条一丁目,さっぽろしきよたく しんえい4じょう 1,42.987373,141.438152
"菊地真,四条貴音",札幌市清田区真栄四条二丁目,さっぽろしきよたく しんえい4じょう 2,42.986916,141.44078
"菊地真,四条貴音",札幌市清田区真栄四条三丁目,さっぽろしきよたく しんえい4じょう 3,42.985299,141.442722
"菊地真,四条貴音",札幌市清田区真栄四条四丁目,さっぽろしきよたく しんえい4じょう 4,42.9847,141.445373
"菊地真,四条貴音",札幌市清田区真栄四条五丁目,さっぽろしきよたく しんえい4じょう 5,42.982233,141.448465
"双海亜美,双海真美",函館市新二見町,はこだてし しんふたみちょう,41.728416,141.02551
"双海亜美,双海真美",函館市双見町,はこだてし ふたみちょう,41.979,140.897969
"双海亜美,双海真美",岩見沢市栗沢町万字二見町,いわみざわし くりさわちょうまんじふたみちょう,43.114491,141.990439
"双海亜美,双海真美",二海郡八雲町相生町,ふたみぐんやくもちょう あいおいちょう,42.251958,140.272529
"双海亜美,双海真美",二海郡八雲町旭丘,ふたみぐんやくもちょう あさひおか,42.191634,140.407748
"双海亜美,双海真美",二海郡八雲町熱田,ふたみぐんやくもちょう あつた,42.224269,140.270207
"双海亜美,双海真美",二海郡八雲町出雲町,ふたみぐんやくもちょう いずもちょう,42.250766,140.268877
"双海亜美,双海真美",二海郡八雲町入沢,ふたみぐんやくもちょう いりさわ,42.177957,140.416564
"双海亜美,双海真美",二海郡八雲町内浦町,ふたみぐんやくもちょう うちうらちょう,42.254695,140.284868
"双海亜美,双海真美",二海郡八雲町大新,ふたみぐんやくもちょう おおしん,42.229267,140.255085
"双海亜美,双海真美",二海郡八雲町落部,ふたみぐんやくもちょう おとしべ,42.190189,140.422169
"双海亜美,双海真美,春日未来",二海郡八雲町春日,ふたみぐんやくもちょう かすが,42.24496,140.240085
"双海亜美,双海真美",二海郡八雲町上の湯,ふたみぐんやくもちょう かみのゆ,42.122103,140.37352
