No,アルバムシリーズ,name,楽曲,13人,39PROJECT,765 MILLIONSTARS,エミリー・スチュアート,ジュリア,ロコ,七尾百合子,三浦あずさ,中谷育,二階堂千鶴,伊吹翼,伴田路子,佐竹美奈子,北上麗花,北沢志保,双海亜美,双海真美,周防桃子,四条貴音,大神環,天海春香,天空橋朋花,如月千早,宮尾美也,島原エレナ,徳川まつり,我那覇響,所恵美,星井美希,春日未来,最上静香,望月杏奈,木下ひなた,松田亜利沙,桜守歌織,横山奈緒,水瀬伊織,永吉昴,田中琴葉,白石紬,百瀬莉緒,真壁瑞希,矢吹可奈,福田のり子,秋月律子,箱崎星梨花,篠宮可憐,舞浜歩,菊地真,萩原雪歩,豊川風花,野々原茜,馬場このみ,高坂海美,高山紗代子,高槻やよい
5,LIVE THE@TER PERFORMANCE,(LTP02),Legend Girls!!,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
6,LIVE THE@TER PERFORMANCE,(LTP03),PRETTY DREAMER,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,1,,,,,
7,LIVE THE@TER PERFORMANCE,(LTP04),Blue Symphony,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
8,LIVE THE@TER PERFORMANCE,(LTP05),Sentimental Venus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,
9,LIVE THE@TER PERFORMANCE,(LTP06),Marionetteは眠らない,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LIVE THE@TER PERFORMANCE,(LTP07),カワラナイモノ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,
11,LIVE THE@TER PERFORMANCE,(LTP08),"Good-Sleep, Baby?",,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
12,LIVE THE@TER PERFORMANCE,(LTP09),Helloコンチェルト,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,
13,LIVE THE@TER PERFORMANCE,(LTP10),瞳の中のシリウス,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,LIVE THE@TER PERFORMANCE,(LTP11),Fu-Wa-Du-Wa,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
15,LIVE THE@TER PERFORMANCE,(LTP12),ココロがかえる場所,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
16,LIVE THE@TER PERFORMANCE,(LTP13),Bigバルーン◎,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,
17,LIVE THE@TER HARMONY,レジェンドデイズ,合言葉はスタートアップ!,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1
18,LIVE THE@TER HARMONY,乙女ストーム!,Growing Storm!,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,
19,LIVE THE@TER HARMONY,クレシェンドブルー,Shooting Stars,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,
